host_is_superhost,latitude,longitude,accommodates,bedrooms,price,review_scores_value,instant_bookable,entire_apt,bathrooms,single_letting,over_ten_lettings
False,51.56861,-0.1127,2,1,65.0,4.74,False,False,1.0,False,False
False,51.4878,-0.16813,2,1,75.0,4.73,False,True,1.0,True,False
False,51.52195,-0.14094,6,3,307.0,4.59,False,True,2.0,False,True
False,51.47935,-0.19743,2,1,150.0,,False,False,1.0,False,False
False,51.47119,-0.16256,4,1,200.0,4.64,False,True,1.5,True,False
False,51.57438,-0.21081,2,1,29.0,4.74,True,False,1.5,False,False
False,51.46416,-0.32554,2,1,65.0,4.29,False,False,1.0,True,False
False,51.48085,-0.28086,5,3,195.0,4.59,False,True,1.5,True,False
True,51.58478,-0.16057,2,1,72.0,4.84,True,False,0.0,False,False
True,51.50701,-0.23362,8,4,190.0,4.72,False,True,2.0,True,False
False,51.58684,-0.08632,2,1,45.0,,False,False,1.5,False,False
False,51.4786,-0.06114,2,1,42.0,5.0,False,False,1.0,True,False
False,51.52605,-0.19942,1,1,42.0,4.3,False,False,1.0,True,False
False,51.58738,-0.08792,2,1,45.0,,False,False,1.5,False,False
False,51.574,-0.21058,2,1,25.0,4.81,True,False,1.5,False,False
False,51.61492,-0.25632,4,2,250.0,4.26,False,True,1.0,True,False
True,51.49351,-0.25568,4,1,150.0,4.54,False,False,1.0,True,False
True,51.50191,-0.10204,1,1,74.0,4.57,False,False,1.5,True,False
False,51.5584,0.00258,2,1,37.0,4.0,True,False,2.5,True,False
True,51.5859,-0.16434,2,1,60.0,4.86,True,False,1.0,False,False
False,51.50822,-0.21562,1,1,125.0,,False,False,1.5,True,False
True,51.48164,-0.21082,2,1,38.0,4.72,False,False,1.0,False,False
True,51.53031,-0.21713,2,1,130.0,4.72,False,True,1.0,True,False
False,51.47511,-0.19263,2,1,65.0,4.69,False,False,2.0,True,False
False,51.4743,-0.19204,2,1,55.0,4.75,False,False,1.0,True,False
False,51.5979,-0.24327,1,1,24.0,,True,False,1.0,False,False
False,51.55237,-0.19954,1,1,45.0,,False,False,1.0,True,False
False,51.51812,-0.1977,4,1,125.0,4.6,False,True,1.0,True,False
False,51.53774,0.01859,2,1,160.0,,True,False,2.0,True,False
False,51.48063,-0.18175,4,1,85.0,,False,True,1.5,False,False
True,51.52958,-0.14344,1,1,39.0,4.77,False,False,1.0,True,False
False,51.4934,-0.22929,2,1,78.0,4.69,False,True,1.0,False,False
False,51.49462,-0.22923,2,1,45.0,4.61,False,False,1.0,False,False
False,51.51757,-0.19195,3,1,121.0,4.61,True,True,1.0,True,False
False,51.54783,-0.19764,2,1,40.0,4.89,False,False,1.0,True,False
True,51.37487,-0.11565,4,2,56.0,5.0,False,True,2.0,False,False
False,51.49547,-0.22942,2,1,45.0,4.85,False,True,1.5,False,False
False,51.39915,-0.10447,2,1,35.0,,False,False,2.0,True,False
False,51.52315,-0.05755,2,1,43.0,4.69,False,False,1.5,False,False
False,51.50143,-0.02024,3,1,175.0,4.0,True,True,1.0,False,True
False,51.49547,-0.22864,2,1,45.0,4.5,False,True,1.0,False,False
True,51.48642,-0.09557,3,1,75.0,4.71,True,True,1.0,False,False
False,51.45932,-0.11874,2,1,80.0,,False,False,1.0,True,False
False,51.4937,-0.22914,2,1,55.0,4.77,False,False,1.0,False,False
False,51.54092,-0.05905,2,1,76.0,4.83,False,True,1.0,True,False
False,51.60268,-0.26268,1,1,25.0,4.56,False,False,1.0,True,False
False,51.59031,-0.09408,1,1,43.0,4.17,False,False,1.0,True,False
False,51.54096,-0.0487,2,1,140.0,,False,True,1.0,True,False
True,51.48128,-0.11593,2,1,48.0,4.75,False,False,1.0,True,False
False,51.44563,-0.14195,2,1,50.0,4.85,False,False,1.0,True,False
False,51.46161,-0.11023,6,2,120.0,4.77,True,True,2.0,True,False
False,51.49349,-0.22766,2,1,40.0,4.66,False,True,1.5,False,False
False,51.5397,-0.20817,2,1,85.0,4.65,False,True,1.0,True,False
False,51.49245,-0.20381,10,4,414.0,4.62,True,True,2.5,False,False
False,51.57322,0.01045,2,1,60.0,5.0,False,False,1.0,True,False
True,51.46478,-0.08007,1,1,34.0,4.84,True,False,1.0,True,False
True,51.39648,-0.2117,2,1,35.0,4.92,False,False,1.0,True,False
False,51.43722,-0.01975,2,1,60.0,,True,False,1.0,True,False
False,51.49096,-0.16183,2,1,99.0,4.36,False,True,1.0,True,False
True,51.45173,-0.15556,2,1,100.0,4.88,False,True,1.0,True,False
False,51.49297,-0.1216,2,1,95.0,4.74,False,True,1.0,True,False
False,51.39911,-0.10453,2,1,35.0,,False,False,2.0,True,False
False,51.53917,-0.10221,4,2,133.0,5.0,False,True,1.0,True,False
True,51.40644,-0.33563,3,1,170.0,4.86,True,True,1.0,False,False
False,51.54796,-0.16462,2,1,110.0,4.75,False,True,1.5,True,False
False,51.52139,-0.13932,5,2,400.0,4.64,False,True,2.0,False,False
True,51.51061,-0.06646,3,1,128.0,4.55,True,True,1.0,True,False
True,51.52707,-0.10923,2,1,102.0,4.89,False,False,1.5,False,False
False,51.58388,0.15463,2,1,190.0,,False,True,2.0,True,False
True,51.48579,-0.1077,2,1,48.0,4.68,True,False,1.5,False,False
True,51.57765,-0.06197,2,1,34.0,4.95,False,False,1.5,True,False
True,51.49168,-0.1157,1,1,58.0,4.76,False,False,1.5,True,False
True,51.51853,-0.18351,4,2,151.0,4.86,False,True,2.0,False,False
True,51.48606,-0.19752,4,2,125.0,4.71,True,True,1.5,True,False
False,51.52479,-0.11648,4,1,129.0,4.71,False,True,1.0,True,False
False,51.5107,-0.18997,1,1,150.0,,False,False,1.0,True,False
False,51.48055,0.07261,2,1,50.0,,True,False,1.5,True,False
False,51.44742,-0.43175,2,1,55.0,5.0,False,True,1.0,True,False
False,51.56792,-0.11125,5,1,142.0,4.47,False,True,1.0,False,False
False,51.49875,-0.19263,4,2,254.0,4.37,False,True,2.0,True,False
True,51.49764,-0.01365,1,1,47.0,4.85,False,False,1.0,True,False
False,51.51109,-0.19842,2,1,96.0,4.44,False,True,1.0,False,False
False,51.48821,-0.22452,2,1,65.0,4.8,False,False,1.0,True,False
False,51.48089,-0.14775,2,1,50.0,4.46,False,True,1.0,True,False
False,51.54113,-0.09881,3,1,90.0,4.81,False,True,1.0,True,False
True,51.55104,-0.08324,2,1,89.0,4.77,False,True,1.0,True,False
False,51.44201,-0.18739,2,1,42.0,4.66,True,False,1.5,True,False
False,51.49993,-0.21707,5,2,100.0,4.68,False,True,1.0,True,False
False,51.4175,-0.19643,4,2,75.0,4.29,True,True,2.0,False,True
False,51.46672,-0.12717,2,1,45.0,4.68,True,False,1.0,True,False
False,51.47618,0.01442,2,1,41.0,4.64,False,False,1.0,True,False
False,51.51881,-0.1965,4,2,300.0,4.29,False,True,2.0,True,False
True,51.52764,-0.05293,4,1,75.0,4.8,True,True,1.0,True,False
True,51.44809,-0.04135,4,2,120.0,4.81,False,True,1.0,False,False
True,51.51939,-0.2285,2,1,49.0,4.88,False,False,1.0,True,False
False,51.42996,-0.12161,2,1,35.0,4.69,False,False,1.0,True,False
False,51.46652,-0.23675,2,1,30.0,4.48,False,False,2.0,True,False
False,51.51448,-0.29547,2,1,60.0,4.88,False,False,1.0,True,False
False,51.57271,-0.13948,2,1,80.0,4.35,False,True,1.0,True,False
